epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.90628,2.8413,3.58269,2.49656,0.0025,0.26087,0.0019,0.00087,3.0124,3.93031,3.437,0,0,0
2,18.5935,2.6027,3.52494,2.47809,0.0025,0.26087,0.00177,0.00082,2.93698,3.9123,3.38331,1.9604e-05,1.9604e-05,1.9604e-05
3,27.0438,2.67541,3.62664,2.40301,0.0025,0.26087,0.00187,0.00089,2.81486,3.90584,3.27934,3.8416e-05,3.8416e-05,3.8416e-05
4,35.5471,2.68952,3.50323,2.58763,0.00292,0.30435,0.00272,0.00117,2.60857,3.89139,3.12059,5.6436e-05,5.6436e-05,5.6436e-05
5,44.166,2.62483,3.74264,2.48949,0.00292,0.30435,0.00307,0.00103,2.51287,3.86984,3.00191,7.3664e-05,7.3664e-05,7.3664e-05
6,52.7016,2.24902,3.4927,2.29712,0.00333,0.34783,0.0045,0.00242,2.48071,3.80847,2.91906,9.01e-05,9.01e-05,9.01e-05
7,61.266,2.51581,3.56574,2.50453,0.00292,0.30435,0.00741,0.00466,2.41317,3.76546,2.81924,0.000105744,0.000105744,0.000105744
8,70.0557,2.42403,3.46611,2.49332,0.00542,0.56522,0.01392,0.00669,2.2668,3.68593,2.62163,0.000120596,0.000120596,0.000120596
9,78.4211,1.96791,3.24603,2.08168,0.00542,0.56522,0.01392,0.00669,2.2668,3.68593,2.62163,0.000134656,0.000134656,0.000134656
10,86.9587,2.16129,3.27416,2.09834,0.00583,0.6087,0.0186,0.01019,2.15718,3.61875,2.46919,0.000147924,0.000147924,0.000147924
11,95.2979,1.87523,3.38733,1.93308,0.00583,0.6087,0.0186,0.01019,2.15718,3.61875,2.46919,0.0001604,0.0001604,0.0001604
12,103.883,1.77677,3.32732,1.97788,0.00667,0.69565,0.02844,0.01772,2.00083,3.56242,2.27746,0.000172084,0.000172084,0.000172084
13,112.693,2.15012,3.51542,2.14089,0.00667,0.69565,0.02844,0.01772,2.00083,3.56242,2.27746,0.000182976,0.000182976,0.000182976
14,121.483,2.01895,3.42443,2.08105,0.00708,0.73913,0.06769,0.04416,1.89738,3.49741,2.11631,0.000193076,0.000193076,0.000193076
15,129.771,1.93928,3.30641,1.97076,0.00708,0.73913,0.06769,0.04416,1.89738,3.49741,2.11631,0.000202384,0.000202384,0.000202384
16,138.428,1.85684,3.19979,1.76563,0.0075,0.78261,0.06685,0.04989,1.84318,3.4099,1.99943,0.0002109,0.0002109,0.0002109
17,147.182,1.74009,3.28196,1.88798,0.0075,0.78261,0.06685,0.04989,1.84318,3.4099,1.99943,0.000218624,0.000218624,0.000218624
18,155.651,1.90799,3.35683,1.99689,0.00792,0.82609,0.10405,0.06115,1.78148,3.32089,1.88963,0.000225556,0.000225556,0.000225556
19,164.028,1.82218,3.20174,1.93092,0.00792,0.82609,0.10405,0.06115,1.78148,3.32089,1.88963,0.000231696,0.000231696,0.000231696
20,172.615,1.83189,3.19437,1.90624,0.00833,0.86957,0.16886,0.09512,1.57738,3.25951,1.71763,0.000237044,0.000237044,0.000237044
21,181.296,1.81514,3.11694,1.88086,0.00833,0.86957,0.16886,0.09512,1.57738,3.25951,1.71763,0.0002416,0.0002416,0.0002416
22,189.804,1.77178,3.14509,1.80399,0.00875,0.91304,0.22358,0.12703,1.47284,3.18393,1.54476,0.000245364,0.000245364,0.000245364
23,198.128,1.39517,2.88475,1.54237,0.00875,0.91304,0.22358,0.12703,1.47284,3.18393,1.54476,0.000248336,0.000248336,0.000248336
24,206.752,1.8081,3.14625,1.88197,0.00875,0.91304,0.22358,0.12703,1.47284,3.18393,1.54476,0.000250516,0.000250516,0.000250516
25,215.213,1.70302,3.19293,1.85125,0.00875,0.91304,0.24823,0.15775,1.47355,3.0927,1.47197,0.000251904,0.000251904,0.000251904
26,223.784,1.65705,2.8764,1.66466,0.00875,0.91304,0.24823,0.15775,1.47355,3.0927,1.47197,0.0002525,0.0002525,0.0002525
27,232.504,1.82207,2.91661,1.87465,0.00875,0.91304,0.24823,0.15775,1.47355,3.0927,1.47197,0.000252304,0.000252304,0.000252304
28,241.145,1.86242,3.14329,1.89756,0.00917,0.95652,0.29504,0.17726,1.43189,3.06481,1.42303,0.000251316,0.000251316,0.000251316
29,249.853,1.65567,2.96624,1.6999,0.00917,0.95652,0.29504,0.17726,1.43189,3.06481,1.42303,0.000249536,0.000249536,0.000249536
30,258.508,1.56932,2.68686,1.61708,0.00917,0.95652,0.29504,0.17726,1.43189,3.06481,1.42303,0.000246964,0.000246964,0.000246964
31,266.951,1.3441,2.76616,1.5328,0.00958,1,0.34237,0.21007,1.44079,3.03043,1.40157,0.0002436,0.0002436,0.0002436
32,275.271,1.66434,2.76509,1.70268,0.00958,1,0.34237,0.21007,1.44079,3.03043,1.40157,0.000239444,0.000239444,0.000239444
